Feature,Coefficient,Abs_Coef
Weekend Alcohol Consumption,0.4856564943695111,0.4856564943695111
Wants Higher Education,0.24802250770443351,0.24802250770443351
Sex (Male),0.23557592238839303,0.23557592238839303
Mjob_health,0.23069392002276046,0.23069392002276046
Mjob_services,0.22185763317771126,0.22185763317771126
Mother's Education,0.16532130344552937,0.16532130344552937
Weekly Study Time,0.14933732540236397,0.14933732540236397
Fjob_teacher,0.14849820163290964,0.14849820163290964
Fjob_other,0.14608096086455258,0.14608096086455258
Family Relationship Quality,0.14552265590070948,0.14552265590070948
reason_reputation,0.12343959008829347,0.12343959008829347
Small Family Size,0.11133695996565163,0.11133695996565163
Urban Home Address,0.11044362169741523,0.11044362169741523
School (Mousinho da Silveira),0.0869216221544023,0.0869216221544023
Father's Education,0.05056517116244806,0.05056517116244806
reason_home,0.026880531452652116,0.026880531452652116
Travel Time to School,0.022585675344426064,0.022585675344426064
reason_other,0.01700385060221942,0.01700385060221942
Free Time After School,0.007189859006118006,0.007189859006118006
Paid Extra Classes,-0.018396121327219225,0.018396121327219225
Fjob_health,-0.05234257259010631,0.05234257259010631
Family Educational Support,-0.05309703463791438,0.05309703463791438
Fjob_services,-0.06035948478381095,0.06035948478381095
In a Romantic Relationship,-0.07988075370673263,0.07988075370673263
Workday Alcohol Consumption,-0.10743486113185699,0.10743486113185699
Number of Absences,-0.17931596097140814,0.17931596097140814
Age,-0.18719176961607906,0.18719176961607906
Internet Access at Home,-0.1948974683555953,0.1948974683555953
Current Health Status,-0.19689044044310047,0.19689044044310047
Parents Living Together,-0.19994368483411643,0.19994368483411643
guardian_other,-0.2145082027371887,0.2145082027371887
Extracurricular Activities,-0.21978683775539368,0.21978683775539368
Mjob_other,-0.22250082075259756,0.22250082075259756
guardian_mother,-0.22529771666536852,0.22529771666536852
Attended Nursery School,-0.23312976501103497,0.23312976501103497
Extra School Support,-0.3499550816524895,0.3499550816524895
Mjob_teacher,-0.37166609678741963,0.37166609678741963
Going Out with Friends,-0.5147515367928367,0.5147515367928367
Past Class Failures,-0.978782645130913,0.978782645130913
