Feature,Coefficient,Abs_Coef
Wants Higher Education,0.5426476250569623,0.5426476250569623
Mjob_teacher,0.4605224272027744,0.4605224272027744
Age,0.3681143359203917,0.3681143359203917
reason_reputation,0.33882062900329984,0.33882062900329984
Small Family Size,0.2265161040058533,0.2265161040058533
Travel Time to School,0.21770508969705785,0.21770508969705785
Mjob_health,0.2003711599629738,0.2003711599629738
Extracurricular Activities,0.19056826277805253,0.19056826277805253
Parents Living Together,0.17568904172447955,0.17568904172447955
Mother's Education,0.16682136705245781,0.16682136705245781
Urban Home Address,0.1500942025012023,0.1500942025012023
Family Educational Support,0.143946833645408,0.143946833645408
reason_home,0.12384440808105077,0.12384440808105077
Family Relationship Quality,0.08111756836252912,0.08111756836252912
Weekly Study Time,0.03280743567129745,0.03280743567129745
Current Health Status,0.02967068115585282,0.02967068115585282
Workday Alcohol Consumption,-0.002177646783292471,0.002177646783292471
Father's Education,-0.00313001227670744,0.00313001227670744
reason_other,-0.01631650491145774,0.01631650491145774
Mjob_services,-0.024526040038037523,0.024526040038037523
Mjob_other,-0.051322418652699715,0.051322418652699715
Going Out with Friends,-0.07821250488572751,0.07821250488572751
Extra School Support,-0.09240170070502807,0.09240170070502807
Fjob_teacher,-0.12728795597425188,0.12728795597425188
In a Romantic Relationship,-0.1649606027836032,0.1649606027836032
Sex (Male),-0.17063549249148616,0.17063549249148616
Attended Nursery School,-0.17111972919978985,0.17111972919978985
Internet Access at Home,-0.1711596269833332,0.1711596269833332
Free Time After School,-0.17254192084580652,0.17254192084580652
Paid Extra Classes,-0.18828384342444152,0.18828384342444152
Fjob_health,-0.19314210774084567,0.19314210774084567
guardian_other,-0.19972223711122225,0.19972223711122225
Weekend Alcohol Consumption,-0.24255489736107227,0.24255489736107227
Fjob_other,-0.31415856736322273,0.31415856736322273
Number of Absences,-0.434673413337983,0.434673413337983
guardian_mother,-0.5234914002680233,0.5234914002680233
Fjob_services,-0.5335057714119904,0.5335057714119904
Past Class Failures,-0.7384118752060306,0.7384118752060306
School (Mousinho da Silveira),-1.0743960299972828,1.0743960299972828
